,Dataset,RotF,DTW-1NN,ST,LS,FS,COTE,BSPCOVER,ResNet,ROCKET,baseline1,DDPS1,DDPSm1,baseline2,DDPS2,DDPSm2,baseline3,DDPS3,DDPSm3,baseline3_k,DDPS3_k,DDPSm3_k
11,CricketY,0.6103,0.7564,0.7795,0.7179,0.5308,0.8256,0.7637,0.8026,0.845,0.7333,0.7231,0.7487,0.6128,0.6282,0.741,0.7154,0.7385,0.7564,12,18,17
12,CricketZ,0.6564,0.7359,0.7872,0.741,0.4641,0.8154,0.741,0.8205,0.8532,0.7718,0.7615,0.7897,0.7333,0.6718,0.7333,0.7692,0.7487,0.7974,10,16,17
13,DiatomSizeReduction,0.8725,0.9346,0.9248,0.9804,0.866,0.9281,0.8725,0.3007,0.958,0.8725,0.8725,0.8399,0.8758,0.7516,0.8922,0.8268,0.8987,0.8301,2,1,4
14,DistalPhalanxOutlineCorrect,0.7572,0.7246,0.7754,0.779,0.75,0.7609,0.8317,0.7754,0.8244,0.6884,0.6775,0.7355,0.6522,0.6594,0.6486,0.6739,0.6848,0.7065,4,10,6
15,DistalPhalanxOutlineAgeGroup,0.7482,0.6259,0.7698,0.7194,0.6547,0.7482,0.8525,0.6906,0.8115,0.741,0.741,0.7554,0.6906,0.741,0.7554,0.7338,0.7266,0.7338,1,7,4
16,DistalPhalanxTW,0.705,0.6331,0.6619,0.6259,0.6259,0.6978,0.7925,0.6475,0.7012,0.6403,0.6619,0.6691,0.6331,0.6691,0.6978,0.6115,0.6547,0.6475,3,2,1
17,Earthquakes,0.7482,0.7266,0.741,0.741,0.705,0.7482,0.8168,0.6906,0.7484,0.741,0.7554,0.7266,0.705,0.7482,0.6691,0.741,0.741,0.705,3,3,3
18,ECG200,0.85,0.88,0.83,0.88,0.81,0.88,0.92,0.85,0.899,0.84,0.85,0.84,0.79,0.82,0.81,0.78,0.85,0.83,10,4,1
19,ECG5000,0.9458,0.9251,0.9438,0.9322,0.9227,0.946,0.9444,0.9369,0.9474,0.9387,0.9407,0.9431,0.9322,0.9367,0.9353,0.9387,0.9376,0.9396,7,6,7
20,ECGFiveDays,0.9082,0.7967,0.9837,1,0.9977,0.9988,1,0.9965,0.996,1,1,0.9988,1,1,1,1,1,0.9977,1,2,3
21,FaceAll,0.9112,0.8077,0.7787,0.7485,0.626,0.9178,0.7633,0.8947,0.988,0.7254,0.7568,0.7645,0.7059,0.7249,0.7355,0.7231,0.7444,0.7621,21,16,9
