,dataset,runtime,coef_of_var
0,Chinatown,6.943589866161346,0.04366375274034218
1,ItalyPowerDemand,24.874661684036255,0.037776511241459365
2,SonyAIBORobotSurface1,67.5117889046669,0.012204659547971888
3,SonyAIBORobotSurface2,82.78277230262756,0.022404205867224334
4,TwoLeadECG,104.22522747516632,0.01779921830996016
5,MoteStrain,99.14522159099579,0.09060296209774867
6,ECGFiveDays,286.5821579694748,0.010445335494955677
7,ECG200,774.3791463971138,0.011362699700399007
8,GunPoint,841.6672756671906,0.02738795848860572
9,DodgerLoopWeekend,1307.453329384327,0.10716083220090752
10,DodgerLoopGame,1268.775120794773,0.09000451815034718
11,Coffee,1662.2497244477272,0.01810501668972308
12,FreezerSmallTrain,1910.6572355628014,0.011797091096864897
13,ToeSegmentation1,2581.1318999528885,0.11427391556248372
14,Wine,2666.3287292718887,0.08542428589928701
15,GunPointAgeSpan,3107.8465344309807,0.11239709301321137
16,GunPointMaleVersusFemale,3071.3264834284782,0.12261451318178504
17,ShapeletSim,3283.5199931263924,0.1031206451364011
18,BirdChicken,3326.375527560711,0.09569998194481436
19,BeetleFly,3235.8054871559143,0.08943756571153968
20,GunPointOldVersusYoung,3144.6356188058853,0.09668149943157256
21,ToeSegmentation2,3739.933545231819,0.033014603939261505
22,PowerCons,4234.509012401104,0.10166662047632592
23,DistalPhalanxOutlineCorrect,6019.150710761547,0.2276485001160642
24,ProximalPhalanxOutlineCorrect,6720.145316302776,0.0985113704310941
25,MiddlePhalanxOutlineCorrect,7164.511708080769,0.07005942125484424
26,Herring,14590.01837694645,0.022439228812416806
27,FreezerRegularTrain,16917.528028786182,0.022165559714852054
28,Lightning2,21505.32874518633,0.04241974705679964
29,Ham,23162.12695223093,0.021383338721763765
30,HouseTwenty,69700.00487047434,0.15651143959720246
31,Yoga,128430.28108680248,0.08820821013731284
32,WormsTwoClass,197780.96824866533,0.11305104917592648
33,Strawberry,101336.37315636873,0.14854102004005265
34,Earthquakes,102143.7784409523,0.43806432651985283
35,Computers,179645.33667826653,0.0
36,Wafer,89929.52255046368,0.1777493759536594
37,PhalangesOutlinesCorrect,46030.95144313574,0.2513447059898073
38,SmoothSubspace,19.7010595202446,0.6231254672289939
39,BME,233.88667511940002,0.1023181485687461
40,CBF,247.3867500424385,0.15814646042419636
41,UMD,402.83523094654083,0.06415760613104443
42,ArrowHead,1104.9590347409248,0.06040525727670345
43,InsectEPGSmallTrain,2102.3194825053215,0.07436438158464953
44,ProximalPhalanxOutlineAgeGroup,2482.349332332611,0.10462093751321695
45,MiddlePhalanxOutlineAgeGroup,2391.778234541416,0.1747932216450626
46,DistalPhalanxOutlineAgeGroup,2964.2193939089775,0.06954329429582083
47,Meat,7027.724753081799,0.08684781344158567
48,InsectEPGRegularTrain,11227.130351662636,0.10440511124756888
49,DiatomSizeReduction,826.4744420051575,0.07606454200010938
50,FaceFour,1302.783158004284,0.039288617174220344
51,OliveOil,4067.8699511289597,0.08839678282921351
52,Trace,4645.296572685242,0.041074592862633486
53,Car,9188.196469545364,0.035483275824942255
54,Rock,15528.09663426876,0.3791768536747381
55,CinCECGTorso,23443.78139746189,0.0661679784080239
56,ChlorineConcentration,17678.83466398716,0.24900156531220227
57,LargeKitchenAppliances,259992.24744665623,0.19578733797776934
58,SmallKitchenAppliances,293131.462556839,0.23650009792092178
59,ScreenType,271497.38487637043,0.2540276331533391
60,RefrigerationDevices,272268.6656368971,0.2305495263405848
61,TwoPatterns,59269.778941214085,1.0229512522356405
62,Beef,2172.897290766239,0.057811102155603734
63,SyntheticControl,398.3385208249092,0.03663943946811924
64,Symbols,1553.8116163015366,0.04433000415187477
65,MiddlePhalanxTW,1995.7534229159355,0.06369095859927
66,ProximalPhalanxTW,2114.1810886859894,0.023417548237777752
67,DistalPhalanxTW,2257.1208680272102,0.07565664685993674
68,GesturePebbleZ1,17140.831437528133,0.07836472099554398
69,GesturePebbleZ2,19345.59465289116,0.04564337971851277
70,OSULeaf,22395.229457616806,0.07399661613390196
71,Plane,780.1692315936089,0.06186363828748506
72,DodgerLoopDay,2826.6436544060707,0.08096872267328643
73,Lightning7,3835.9170665740967,0.10512059633827087
74,Fish,18330.143827795982,0.07881814075016035
75,Mallat,12442.04695147276,0.06337575121753389
76,ECG5000,12906.922592639923,0.106574344646077
77,MixedShapesSmallTrain,35182.76806372404,0.08651798722179739
78,Haptics,73072.9522305727,0.07402332891966446
79,Worms,101663.75250267982,0.04585342705779266
80,InlineSkate,90506.17050403357,0.03846344104000235
81,UWaveGestureLibraryX,122371.58890628815,0.24496720506546335
82,UWaveGestureLibraryZ,138071.35387170315,0.2294127264261015
83,UWaveGestureLibraryY,147105.4513297081,0.24619247232401134
84,PickupGestureWiimoteZ,2933.581077873707,0.07162647553461163
85,ShakeGestureWiimoteZ,3584.6038712859154,0.11055012888334656
86,Fungi,3181.821183681488,0.0
87,ACSF1,32730.500449299812,0.08442848560135552
88,InsectWingbeatSound,4653.915813565254,0.04613039377163988
89,FacesUCR,1027.950065255165,0.05707350117079177
90,MelbournePedestrian,439.35240215063095,0.7176878172464067
91,MedicalImages,3102.2374172210693,0.04076822309474709
92,AllGestureWiimoteX,37658.80187320709,0.07731466305538662
93,AllGestureWiimoteZ,39161.390973865986,0.11107422318955601
94,AllGestureWiimoteY,36483.4666762352,0.07454082480880612
95,CricketY,14802.945470452309,0.09629306949145733
96,CricketZ,15015.915125250816,0.026448394351995988
97,CricketX,15285.01386153698,0.030709327775964117
98,FaceAll,4453.010981678963,0.04844017836440036
99,SwedishLeaf,2612.96085780859,0.03587723008854354
100,WordSynonyms,9653.051850914955,0.0667070807197259
101,GestureMidAirD2,12603.43158698082,0.0612186000386314
102,GestureMidAirD1,12027.605554044247,0.06687304385693484
103,GestureMidAirD3,12133.751715302467,0.06513780672375605
104,Crop,12877.240528583528,0.0
105,Adiac,2839.637975513935,0.03567878051115789
106,Phoneme,2691.6748843193054,0.0
107,FiftyWords,2691.6748843193054,0.0
108,PigAirwayPressure,2691.6748843193054,0.0
109,PigArtPressure,2691.6748843193054,0.0
110,PigCVP,2691.6748843193054,0.0
111,ShapesAll,2691.6748843193054,0.0
