,dataset,SScv_avg_k,SScv_mean_acc,SScv_std_acc,SSpi_avg_k,SSpi_mean_acc,SSpi_std_acc
93,AllGestureWiimoteZ,28,0.577857143,0.009467093,19,0.558809524,0.017497975
94,AllGestureWiimoteY,20,0.687738095,0.011651472,12,0.670595238,0.002903884
95,CricketY,25,0.784615385,0.008964178,17,0.775213675,0.010094882
96,CricketZ,23,0.789529915,0.019362087,16,0.777136752,0.02342547
97,CricketX,26,0.801923077,0.014992328,14,0.788675214,0.01178705
98,FaceAll,28,0.966518738,0.005932549,11,0.959763314,0.005797609
99,SwedishLeaf,29,0.9312,0.01291614,17,0.9236,0.011106755
100,WordSynonyms,18,0.611024033,0.013363799,6,0.59691745,0.009950887
101,GestureMidAirD2,9,0.557692308,0.026430164,5,0.524358974,0.013137116
102,GestureMidAirD1,11,0.700641026,0.022889194,6,0.667948718,0.025155663
103,GestureMidAirD3,10,0.408333333,0.012740133,7,0.384615385,0.040257227
104,Crop,9,0.387179487,0,6,0.328205128,0
105,Adiac,23,0.778772379,0.020781964,9,0.760869565,0.021283014
106,Phoneme,13,0.763000853,0,5,0.751065644,0
107,FiftyWords,13,0.763000853,0,5,0.751065644,0
108,PigAirwayPressure,11,0.732600733,0,3,0.718681319,0
109,PigArtPressure,11,0.732600733,0,3,0.718681319,0
110,PigCVP,11,0.732600733,0,3,0.718681319,0
111,ShapesAll,13,0.763000853,0,5,0.751065644,0
