,dataset,HC1,HC2,ROCKET,miniROCKET,ResNet,InceptionTime,FS,ST,LS,BSPCOVER,IPS,prototypeMP,DDPS-SScv,DDPS-SSpi
97,CricketX,0.8148,0.8399,0.8405,0.8251,0.8103,0.8538,,0.7875,0.7077,0.7708,,0.7397,0.7972,0.7821
98,FaceAll,0.9797,0.9867,0.988,0.9835,0.8284,0.8071,0.5893,0.9532,0.8101,0.7633,0.7636,0.8895,0.9674,0.9591
99,SwedishLeaf,0.9499,0.9635,0.9627,0.9629,0.9552,0.9744,0.7307,0.9319,0.9232,0.9184,,0.9184,0.9373,0.9312
100,WordSynonyms,0.6934,0.7662,0.7658,0.7676,0.6301,0.7335,,0.6556,0.6646,0.6849,,0.6352,0.59,0.5869
101,GestureMidAirD2,,,,,0.6769,0.7308,,,,,,0.5987,0.5686,0.5564
102,GestureMidAirD1,,,,,0.6846,0.7462,,,,,,0.6769,0.6846,0.6692
103,GestureMidAirD3,,,,,0.3462,0.4,,,,,,0.4295,0.4231,0.4
104,Crop,0.77,0.7639,0.7518,0.7522,0.7427,0.7722,,0.7347,,,,0.3923,0.4359,0.4128
105,Adiac,0.796,0.7951,0.7702,0.8017,0.8517,0.8414,0.4859,0.7862,0.7263,0.7694,,0.7653,0.7916,0.7696
106,Phoneme,0.3723,0.3909,0.2748,0.2719,0.3397,0.3412,,0.3536,0.2025,0.2073,0.2843,0.7502,0.7826,0.7664
107,FiftyWords,0.7727,0.8258,0.8252,0.829,0.756,0.8308,,0.7474,0.7692,0.7538,,0.7502,0.7326,0.7187
108,PigAirwayPressure,0.9574,0.9554,0.1923,0.8728,0.4327,0.5433,,0.9704,,,,0.7502,0.763,0.7511
109,PigArtPressure,0.967,0.9732,0.9071,0.9625,0.9904,0.9952,,0.9253,,,,0.7502,0.763,0.7511
110,PigCVP,0.9527,0.929,0.8832,0.9186,0.9087,0.9615,,0.8878,,,,0.7502,0.763,0.7511
111,ShapesAll,0.9314,0.9343,0.9226,0.9348,0.93,0.9283,,0.8372,0.8217,0.8333,,0.7502,0.7326,0.7187
