,dataset,SScv_avg_k,SScv_mean_acc,SScv_std_acc,SSpi_avg_k,SSpi_mean_acc,SSpi_std_acc
0,Chinatown,9,0.970602527,0.010676177,2,0.956268222,0.016506596
1,ItalyPowerDemand,17,0.955944282,0.00854917,3,0.948412698,0.006415201
2,SonyAIBORobotSurface1,15,0.959511925,0.011285075,2,0.880476983,0.070149881
3,SonyAIBORobotSurface2,22,0.933980413,0.021126348,3,0.879240993,0.043988256
4,TwoLeadECG,19,0.999634182,0.000380169,3,0.983391864,0.003709762
5,MoteStrain,19,0.853900426,0.043282488,4,0.819089457,0.040843655
6,ECGFiveDays,7,0.999225707,0.001128717,4,0.996612466,0.002588026
7,ECG200,20,0.856666667,0.024152295,4,0.796666667,0.03009245
8,GunPoint,11,0.998333333,0.002886751,5,0.99,0.003333333
9,DodgerLoopWeekend,2,0.985507246,0.007246377,2,0.980072464,0.010717536
10,DodgerLoopGame,12,0.756038647,0.063379912,3,0.657608696,0.127189166
11,Coffee,20,0.973214286,0.029612721,2,0.922619048,0.060993755
12,FreezerSmallTrain,17,0.996725146,0.002688787,2,0.991140351,0.008671304
13,ToeSegmentation1,17,0.955409357,0.009834521,3,0.946637427,0.014079942
14,Wine,22,0.904320988,0.042877914,8,0.862654321,0.08005378
15,GunPointAgeSpan,23,0.957278481,0.019628475,8,0.954113924,0.014927185
16,GunPointMaleVersusFemale,17,0.970200422,0.017306893,8,0.967827004,0.015020075
17,ShapeletSim,3,1,0,1,0.993055556,0.012028131
18,BirdChicken,9,0.941666667,0.038188131,3,0.8625,0.04145781
19,BeetleFly,10,0.983333333,0.020412415,2,0.9125,0.021650635
20,GunPointOldVersusYoung,21,0.976190476,0.007649118,11,0.973809524,0.006873217
21,ToeSegmentation2,16,0.93974359,0.018885795,3,0.923076923,0.014840817
22,PowerCons,18,0.85462963,0.026755895,8,0.828703704,0.025542804
23,DistalPhalanxOutlineCorrect,17,0.775362319,0.005854686,8,0.756642512,0.009605057
24,ProximalPhalanxOutlineCorrect,22,0.867983963,0.006697603,13,0.860824742,0.005025753
25,MiddlePhalanxOutlineCorrect,20,0.791523482,0.01027741,10,0.773195876,0.017911221
26,Herring,13,0.653645833,0.011933791,9,0.615885417,0.027405684
27,FreezerRegularTrain,14,0.998508772,0.000872796,2,0.997251462,0.001632197
28,Lightning2,16,0.765027322,0.003863971,6,0.683060109,0.02677038
29,Ham,18,0.820634921,0.018578889,6,0.778571429,0.026501282
30,HouseTwenty,15,0.957983193,0.023013553,3,0.925770308,0.02063154
31,Yoga,26,0.801388889,0.02771465,14,0.791194444,0.02884338
32,WormsTwoClass,7,0.792207792,0.057430732,7,0.718614719,0.065581201
33,Strawberry,17,0.958108108,0.005715575,10,0.951126126,0.008602896
34,Earthquakes,15,0.791366906,0.030286165,3,0.759592326,0.016818657
35,Computers,24,0.76705036,0.01088243,5,0.752453237,0.010761975
36,Wafer,13,1,0,4,0.999756652,0.000243348
37,PhalangesOutlinesCorrect,17,0.789044289,0.12239982,9,0.788129605,0.122657193
38,SmoothSubspace,27,0.925555556,0.01,5,0.904444444,0.016996732
39,BME,14,0.970555556,0.010348853,6,0.955,0.023167399
40,CBF,15,0.981203704,0.013935416,3,0.942037037,0.059744828
41,UMD,14,0.949652778,0.012823217,5,0.914930556,0.0198707
42,ArrowHead,15,0.861428571,0.022309918,5,0.833333333,0.02852377
43,InsectEPGSmallTrain,15,0.884203481,0.02979145,6,0.845716198,0.053600835
44,ProximalPhalanxOutlineAgeGroup,18,0.868292683,0.005514089,2,0.845121951,0.017184115
45,MiddlePhalanxOutlineAgeGroup,4,0.773268398,0.015334012,3,0.748917749,0.018174086
46,DistalPhalanxOutlineAgeGroup,14,0.844724221,0.014819193,7,0.820743405,0.015483419
47,Meat,3,0.991666667,0.014433757,3,0.9875,0.01381927
48,InsectEPGRegularTrain,24,0.984270415,0.007711994,14,0.969544846,0.016046817
49,DiatomSizeReduction,20,0.969771242,0.022169496,6,0.905501089,0.022169496
50,FaceFour,5,1,0,6,1,0
51,OliveOil,21,0.894444444,0.031914237,10,0.866666667,0.03928371
52,Trace,1,1,0,2,1,0
53,Car,17,0.918055556,0.025572156,8,0.859722222,0.030270132
54,Rock,10,0.913333333,0.02,4,0.773333333,0.06
55,CinCECGTorso,26,0.928864734,0.031731124,5,0.85102657,0.021606125
56,ChlorineConcentration,28,0.67515191,0.035359675,9,0.656770833,0.032451407
57,LargeKitchenAppliances,20,0.906888889,0.005807615,7,0.892666667,0.011019623
58,SmallKitchenAppliances,18,0.783555556,0.008207193,9,0.762,0.012338838
59,ScreenType,15,0.605333333,0.026755408,7,0.574666667,0.039219547
60,RefrigerationDevices,24,0.714444444,0.02697873,8,0.692222222,0.033733158
61,TwoPatterns,30,0.869048611,0.071198187,16,0.861555556,0.079710072
62,Beef,16,0.688888889,0.028327886,7,0.569444444,0.040349553
63,SyntheticControl,7,0.995,0.001666667,8,0.993055556,0.003878956
64,Symbols,11,0.951758794,0.001005025,4,0.946231156,0.003517588
65,MiddlePhalanxTW,8,0.609307359,0.009246757,5,0.59469697,0.013199471
66,ProximalPhalanxTW,23,0.821138211,0.019204897,3,0.802439024,0.016522278
67,DistalPhalanxTW,21,0.802482892,0.022313747,2,0.777180207,0.032675041
68,GesturePebbleZ1,20,0.893895349,0.027075488,12,0.882267442,0.03258394
69,GesturePebbleZ2,19,0.915611814,0.029422628,12,0.884493671,0.018048458
70,OSULeaf,28,0.924586777,0.016880304,14,0.90392562,0.015926076
71,Plane,4,1,0,3,0.988095238,0.007896726
72,DodgerLoopDay,15,0.453125,0.04211993,10,0.4125,0.030618622
73,Lightning7,16,0.729452055,0.02570395,6,0.649543379,0.031032596
74,Fish,18,0.94,0.01208436,11,0.923333333,0.007781016
75,Mallat,17,0.909843639,0.037380368,5,0.845913291,0.02970826
76,ECG5000,16,0.942055556,0.006410591,3,0.935185185,0.002813352
77,MixedShapesSmallTrain,27,0.90790378,0.006884526,9,0.876426117,0.027995381
78,Haptics,20,0.507305195,0.009600214,10,0.470508658,0.003096732
79,Worms,15,0.748917749,0.046624804,11,0.717532468,0.04891727
80,InlineSkate,20,0.331666667,0.017728568,13,0.314090909,0.01450357
81,UWaveGestureLibraryX,22,0.550600223,0.2172703,10,0.535856048,0.220743462
82,UWaveGestureLibraryZ,27,0.741182766,0.028549771,10,0.732947143,0.029498569
83,UWaveGestureLibraryY,26,0.70498325,0.012082729,13,0.696375395,0.009202473
84,PickupGestureWiimoteZ,16,0.615,0.075479946,8,0.548333333,0.099484784
85,ShakeGestureWiimoteZ,9,0.836666667,0.021343747,7,0.805,0.032102267
86,Fungi,7,0.826666667,0,8,0.806666667,0
87,ACSF1,21,0.849166667,0.02880731,6,0.8125,0.019346978
88,InsectWingbeatSound,23,0.60256734,0.007160698,6,0.5878367,0.008799719
89,FacesUCR,24,0.937317073,0.006943013,8,0.924471545,0.013667486
90,MelbournePedestrian,26,0.89035667,0.025307454,8,0.876504632,0.026193908
91,MedicalImages,13,0.685745614,0.012457607,6,0.672587719,0.015972682
92,AllGestureWiimoteX,27,0.635357143,0.013872496,15,0.61297619,0.020187261
93,AllGestureWiimoteZ,29,0.600833333,0.021360673,14,0.57547619,0.032378326
94,AllGestureWiimoteY,28,0.699642857,0.010995644,12,0.681071429,0.009137244
95,CricketY,27,0.788034188,0.011609468,17,0.77008547,0.008352487
96,CricketZ,24,0.792948718,0.019029094,12,0.773290598,0.015752661
97,CricketX,25,0.797222222,0.008316881,11,0.782051282,0.006424486
98,FaceAll,28,0.967357002,0.00338912,9,0.959122288,0.004474699
99,SwedishLeaf,28,0.937333333,0.011304276,15,0.9312,0.011859923
100,WordSynonyms,13,0.589994775,0.01432441,6,0.586859979,0.002673653
101,GestureMidAirD2,9,0.568589744,0.027037303,4,0.556410256,0.024660749
102,GestureMidAirD1,11,0.684615385,0.032534814,6,0.669230769,0.031922819
103,GestureMidAirD3,8,0.423076923,0.020909624,6,0.4,0.019944037
104,Crop,4,0.435897436,0,3,0.412820513,0
105,Adiac,22,0.791560102,0.016591219,8,0.769607843,0.01824835
106,Phoneme,12,0.782608696,0,6,0.766410912,0
107,FiftyWords,11,0.732600733,0,3,0.718681319,0
108,PigAirwayPressure,13,0.763000853,0,5,0.751065644,0
109,PigArtPressure,13,0.763000853,0,5,0.751065644,0
110,PigCVP,13,0.763000853,0,5,0.751065644,0
111,ShapesAll,11,0.732600733,0,3,0.718681319,0
