,dataset,Train ,Test ,Class,Length,prototypeMP,DDPS,DDPSt,DDPSm,DDPS improve,DDPSt improve,DDPSm improve
27,FreezerRegularTrain,150,2850,2,301,10373.56455,12083.46578,8192.852425,16917.52803,0.858492483,1.266172513,0.613184416
28,Lightning2,60,61,2,637,14657.71351,16355.64261,12302.98625,21505.32875,0.896186953,1.191394773,0.681585187
29,Ham,109,105,2,431,16207.02557,17047.57254,12386.32147,23162.12695,0.950694037,1.308461565,0.699720954
30,HouseTwenty,40,119,2,2000,39521.35138,51012.09946,41909.63098,69700.00487,0.774744655,0.943013586,0.567020784
31,Yoga,300,3000,2,426,90613.48061,94712.79858,82399.87867,128430.2811,0.956718437,1.099679782,0.705546074
32,WormsTwoClass,181,77,2,900,157435.0193,151392.721,132857.3822,197780.9682,1.039911419,1.184992635,0.79600692
33,Strawberry,613,370,2,235,101983.1625,73776.35417,71938.18453,101336.3732,1.382328574,1.417649933,1.006382598
34,Earthquakes,322,139,2,512,174468.1243,171916.1693,173052.6186,102143.7784,1.014844182,1.008179626,1.708064132
35,Computers,250,250,2,720,205559.7673,124690.9344,195333.3522,179645.3367,1.648554231,1.052353656,1.144253289
36,Wafer,1000,6164,2,152,99288.63981,85339.72981,74842.63292,89929.52255,1.163451537,1.326632107,1.104071688
37,PhalangesOutlinesCorrect,1800,858,2,80,32961.54237,60267.34461,38086.04042,46030.95144,0.546922095,0.86544944,0.716073454
38,SmoothSubspace,150,150,3,15,35.2316345,8.188322663,5.137081921,19.70105952,4.302668073,6.858297189,1.788311662
39,BME,30,150,3,128,183.2235872,149.4538476,80.81565303,233.8866751,1.2259543,2.267179442,0.783386172
40,CBF,30,900,3,128,180.3049513,148.9289519,79.31333435,247.38675,1.210677636,2.273324565,0.728838352
41,UMD,36,144,3,150,278.3165314,258.0895597,143.6677376,402.8352309,1.07837191,1.937223597,0.690894217
42,ArrowHead,36,175,3,251,751.0888921,750.7681883,453.1433703,1104.959035,1.000427168,1.657508288,0.679743654
43,InsectEPGSmallTrain,17,249,3,601,1156.735673,1557.580735,927.1125943,2102.319483,0.742648934,1.247675503,0.550218786
44,ProximalPhalanxOutlineAgeGroup,400,205,3,80,2242.081841,1731.500475,1393.547647,2482.349332,1.294877982,1.608902175,0.903209638
45,MiddlePhalanxOutlineAgeGroup,400,154,3,80,2100.165015,1760.410509,1357.767947,2391.778235,1.192997318,1.546777577,0.878076815
46,DistalPhalanxOutlineAgeGroup,400,139,3,80,2342.662908,2193.950571,1487.511686,2964.219394,1.067782902,1.574887062,0.790313603
47,Meat,60,60,3,448,4824.893909,4773.379834,3528.286452,7027.724753,1.01079195,1.367489283,0.686551349
48,InsectEPGRegularTrain,62,249,3,601,7423.745696,8821.78476,6612.903438,11227.13035,0.841524238,1.122615167,0.661232698
49,DiatomSizeReduction,16,306,4,345,595.0795221,531.7642481,319.3164798,826.474442,1.119066436,1.863604166,0.720021687
50,FaceFour,24,88,4,350,1041.225741,1003.626098,652.6672931,1302.783158,1.037463796,1.595339237,0.79923181
