,dataset,runtime,coef_of_var
97,CricketX,25922.83952832222,0.06034680780832277
98,FaceAll,15099.938176214695,0.3693187530699156
99,SwedishLeaf,9935.715314507484,0.09437997237926225
100,WordSynonyms,22851.701106786728,0.04931813866302759
101,GestureMidAirD2,27331.00342911482,0.05570595318260118
102,GestureMidAirD1,27424.14684075117,0.04602492409461292
103,GestureMidAirD3,26624.911638498306,0.07119507312738524
104,Crop,27741.93696832657,0.0
105,Adiac,20076.918325185776,0.06131566625697615
106,Phoneme,18855.42357063293,0.0
107,FiftyWords,18855.42357063293,0.0
108,PigAirwayPressure,18855.42357063293,0.0
109,PigArtPressure,18855.42357063293,0.0
110,PigCVP,18855.42357063293,0.0
111,ShapesAll,18855.42357063293,0.0
