,dataset,runtime,coef_of_var
64,Symbols,1215.338609457016,0.020732284547229893
65,MiddlePhalanxTW,1748.2744938731194,0.0236669390580771
66,ProximalPhalanxTW,1744.7487374544144,0.06098154139306695
67,DistalPhalanxTW,1705.1732614040375,0.08689284695543695
68,GesturePebbleZ1,15388.734065413475,0.035145958427435654
69,GesturePebbleZ2,18994.82530885935,0.08576960330235574
70,OSULeaf,21035.60483187437,0.1560302728703171
71,Plane,583.4235754013062,0.013478472323633554
72,DodgerLoopDay,2420.013081908226,0.059353786216628825
73,Lightning7,3215.9946185946465,0.053570329344462785
74,Fish,15187.398093879223,0.03612004776438575
75,Mallat,10994.523561298847,0.06401129193379744
76,ECG5000,11077.077228486538,0.037309422477047174
77,MixedShapesSmallTrain,32798.9217595458,0.0971287845868069
78,Haptics,68825.8924819231,0.07252314675730011
79,Worms,89630.95692509413,0.0837149443328707
80,InlineSkate,84955.6665020585,0.05229311821830784
81,UWaveGestureLibraryX,107205.539016366,0.35692575298653084
82,UWaveGestureLibraryZ,155586.75021862984,0.08795248422435038
83,UWaveGestureLibraryY,149910.7544645071,0.059140807448507485
84,PickupGestureWiimoteZ,2530.964439332485,0.06484625130987463
85,ShakeGestureWiimoteZ,2696.7310171723366,0.025194381154853653
86,Fungi,2689.0081696510315,0.0
87,ACSF1,32650.78144532442,0.09705823855229292
88,InsectWingbeatSound,4244.949185788631,0.04010847106353475
89,FacesUCR,870.7481405138969,0.0533950269842823
90,MelbournePedestrian,384.8807398676872,0.6580288102035102
91,MedicalImages,2558.937052965164,0.031812656108424625
92,AllGestureWiimoteX,35603.088484466076,0.05220097728040026
93,AllGestureWiimoteZ,36061.569075226784,0.08878566656352857
94,AllGestureWiimoteY,36699.23815149069,0.0881300873507599
95,CricketY,13862.14547520876,0.0876228408398715
96,CricketZ,14476.748495697975,0.13465059518949488
97,CricketX,13155.924836099148,0.04786282461011972
98,FaceAll,3959.740177631378,0.05254841808562205
99,SwedishLeaf,2316.564113497734,0.03669401539412605
100,WordSynonyms,8618.566034018993,0.003653498264203458
101,GestureMidAirD2,11645.347953140736,0.03337509989052307
102,GestureMidAirD1,11559.313937187195,0.06824369551984803
103,GestureMidAirD3,11166.289301753044,0.04960720111448068
104,Crop,10381.98522758484,0.0
105,Adiac,2479.056432723999,0.05394137682970988
106,Phoneme,2454.9604420661926,0.0
107,FiftyWords,13146.749937534332,0.0
108,PigAirwayPressure,13146.749937534332,0.0
109,PigArtPressure,13146.749937534332,0.0
110,PigCVP,13146.749937534332,0.0
111,ShapesAll,13146.749937534332,0.0
