,dataset,runtime,coef_of_var
0,Chinatown,4.449513614177704,0.1445037760908916
1,ItalyPowerDemand,16.222027480602264,0.14063470925677002
2,SonyAIBORobotSurface1,44.55303996801376,0.16088228690453477
3,SonyAIBORobotSurface2,53.88715314865112,0.16156320960294862
4,TwoLeadECG,66.90095353126526,0.16202802448517276
5,MoteStrain,65.91781800985336,0.2112937230878657
6,ECGFiveDays,188.48488420248032,0.17336090548904068
7,ECG200,517.1450807452202,0.1913176920043268
8,GunPoint,555.8545657992363,0.17195777107231738
9,DodgerLoopWeekend,909.460529088974,0.20802210877950097
10,DodgerLoopGame,834.5130373239517,0.18749147673169397
11,Coffee,1144.6211194992065,0.2061016342832165
12,FreezerSmallTrain,1339.4526355862617,0.20642366583765004
13,ToeSegmentation1,1714.7342376112938,0.18930624994304363
14,Wine,1769.2004016041756,0.19301903100278286
15,GunPointAgeSpan,2168.136201620102,0.2144011954737851
16,GunPointMaleVersusFemale,2175.770640015602,0.2221871505479777
17,ShapeletSim,2170.1328895688057,0.1818982771738727
18,BirdChicken,2226.6930543780327,0.19495731913226474
19,BeetleFly,2149.763731777668,0.1793946493704088
20,GunPointOldVersusYoung,2136.0243431925774,0.19618967060431694
21,ToeSegmentation2,2536.3387236595154,0.19718860634736557
22,PowerCons,2828.7224321365356,0.19095463729825782
23,DistalPhalanxOutlineCorrect,5350.238635420799,0.17874003631703517
24,ProximalPhalanxOutlineCorrect,5329.0473046302795,0.17328150507500079
25,MiddlePhalanxOutlineCorrect,5273.4032336473465,0.1833556842408808
26,Herring,10346.57065987587,0.197685970213131
27,FreezerRegularTrain,12083.465784490108,0.2008455887581008
28,Lightning2,16355.642609477045,0.20424073858631922
29,Ham,17047.572542071342,0.21171302339583306
30,HouseTwenty,51012.09946131706,0.10881811141823015
31,Yoga,94712.79857647419,0.1740900174197566
32,WormsTwoClass,151392.72102844715,0.29857289480107924
33,Strawberry,73776.35417246819,0.2784108522542532
34,Earthquakes,171916.16932201385,0.3037176290814469
35,Computers,124690.9343507886,0.3915425457691881
36,Wafer,85339.72981137037,0.1406992884659462
37,PhalangesOutlinesCorrect,60267.344612538815,0.34784136159463064
38,SmoothSubspace,8.18832266330719,0.11934418984528518
39,BME,149.4538475871086,0.11785095813721956
40,CBF,148.92895185947418,0.1602067627902964
41,UMD,258.08955973386765,0.1774714339489454
42,ArrowHead,750.7681882977486,0.20130592843935363
43,InsectEPGSmallTrain,1557.5807354450226,0.16327643030987146
44,ProximalPhalanxOutlineAgeGroup,1731.5004748106003,0.19207080992281617
45,MiddlePhalanxOutlineAgeGroup,1760.4105086922646,0.18292287074722724
46,DistalPhalanxOutlineAgeGroup,2193.950570821762,0.14857090049540717
47,Meat,4773.379833757877,0.20717814220532996
48,InsectEPGRegularTrain,8821.784759581089,0.2039231607876994
49,DiatomSizeReduction,531.764248073101,0.14007561781830966
50,FaceFour,1003.6260981559753,0.1448910103125619
51,OliveOil,3006.7185534238815,0.16730496545126095
52,Trace,3369.6463291049004,0.18854206646510133
53,Car,6581.523377001286,0.20103310059250232
54,Rock,12230.632504224777,0.3792838740352971
55,CinCECGTorso,19618.82319355011,0.1644577757712632
56,ChlorineConcentration,13426.638979971409,0.18304114505081967
57,LargeKitchenAppliances,255313.93199121952,0.2172028683355246
58,SmallKitchenAppliances,250664.6276344061,0.2252137016221665
59,ScreenType,261406.31440633535,0.24647694246475482
60,RefrigerationDevices,268659.6040377617,0.2865148516650619
61,TwoPatterns,25179.812266290188,0.2553203007256079
62,Beef,1478.73065584898,0.07514311833508122
63,SyntheticControl,324.3730990886688,0.03549483338011283
